kind,algorithm,n,block,repeat,algorithm_ms,wall_ms
scan,Shared Blelloch,10000,512,13,0.0235520005,0.3205
scan,Shared Blelloch,10000,512,14,0.0235520005,0.3176
scan,Shared naive,10000,256,0,0.0122880004,0.3661
scan,Shared naive,10000,256,1,0.0133119998,0.3234
scan,Shared naive,10000,256,2,0.0133119998,0.3097
scan,Shared naive,10000,256,3,0.0122880004,0.3452
scan,Shared naive,10000,256,4,0.0122880004,0.3064
scan,Shared naive,10000,256,5,0.0122880004,0.3012
scan,Shared naive,10000,256,6,0.0122880004,0.3058
scan,Shared naive,10000,256,7,0.0133119998,0.3049
scan,Shared naive,10000,256,8,0.0133119998,0.3033
scan,Shared naive,10000,256,9,0.0122880004,0.2983
scan,Shared naive,10000,256,10,0.0122880004,0.3037
scan,Shared naive,10000,256,11,0.0133119998,0.3048
scan,Shared naive,10000,256,12,0.0122880004,0.3113
scan,Shared naive,10000,256,13,0.0122880004,0.3024
scan,Shared naive,10000,256,14,0.0122880004,0.3011
scan,Shared naive,10000,512,0,0.0133119998,0.3086
scan,Shared naive,10000,512,1,0.0143360002,0.302
scan,Shared naive,10000,512,2,0.0133119998,0.3404
scan,Shared naive,10000,512,3,0.0133119998,0.3037
scan,Shared naive,10000,512,4,0.0133119998,0.3113
scan,Shared naive,10000,512,5,0.0143360002,0.3079
scan,Shared naive,10000,512,6,0.0133119998,0.3049
scan,Shared naive,10000,512,7,0.0143360002,0.3002
scan,Shared naive,10000,512,8,0.0143360002,0.3038
scan,Shared naive,10000,512,9,0.0143360002,0.3298
scan,Shared naive,10000,512,10,0.0143360002,0.5609
scan,Shared naive,10000,512,11,0.0133119998,0.4942
scan,Shared naive,10000,512,12,0.0143360002,0.4082
scan,Shared naive,10000,512,13,0.0133119998,0.3862
scan,Shared naive,10000,512,14,0.0143360002,0.3339
scan,Shared naive,10000,128,0,0.0122880004,0.3142
scan,Shared naive,10000,128,1,0.0122880004,0.3116
scan,Shared naive,10000,128,2,0.0133119998,0.3144
scan,Shared naive,10000,128,3,0.0122880004,0.3146
scan,Shared naive,10000,128,4,0.0122880004,0.3188
scan,Shared naive,10000,128,5,0.0133119998,0.3391
scan,Shared naive,10000,128,6,0.0122880004,0.3229
scan,Shared naive,10000,128,7,0.0122880004,0.3137
scan,Shared naive,10000,128,8,0.0133119998,0.3124
scan,Shared naive,10000,128,9,0.0122880004,0.3083
scan,Shared naive,10000,128,10,0.0122880004,0.31
scan,Shared naive,10000,128,11,0.0122880004,0.3099
scan,Shared naive,10000,128,12,0.0122880004,0.3061
scan,Shared naive,10000,128,13,0.0122880004,0.3001
scan,Shared naive,10000,128,14,0.0122880004,0.3042
scan,Shared naive,10000,1024,0,0.0153599996,0.3095
scan,Shared naive,10000,1024,1,0.0153599996,0.3183
scan,Shared naive,10000,1024,2,0.0153599996,0.3058
scan,Shared naive,10000,1024,3,0.0153599996,0.3047
scan,Shared naive,10000,1024,4,0.0153599996,0.3062
scan,Shared naive,10000,1024,5,0.0153599996,0.3042
scan,Shared naive,10000,1024,6,0.0153599996,0.3331
scan,Shared naive,10000,1024,7,0.0153599996,0.307
scan,Shared naive,10000,1024,8,0.0153599996,0.3096
scan,Shared naive,10000,1024,9,0.0153599996,0.3147
scan,Shared naive,10000,1024,10,0.0143360002,0.3028
scan,Shared naive,10000,1024,11,0.0153599996,0.3024
scan,Shared naive,10000,1024,12,0.0153599996,0.3029
scan,Shared naive,10000,1024,13,0.0153599996,0.3038
scan,Shared naive,10000,1024,14,0.0153599996,0.302
scan,Shared naive,10000,64,0,0.0184320007,0.3154
scan,Shared naive,10000,64,1,0.0194559991,0.3193
scan,Shared naive,10000,64,2,0.0194559991,0.3162
scan,Shared naive,10000,64,3,0.0194559991,0.3197
scan,Shared naive,10000,64,4,0.0215039998,0.4302
scan,Shared naive,10000,64,5,0.0194559991,0.4114
scan,Shared naive,10000,64,6,0.0215039998,0.5058
scan,Shared naive,10000,64,7,0.0204799995,0.4928
scan,Shared naive,10000,64,8,0.0194559991,0.4035
scan,Shared naive,10000,64,9,0.0194559991,0.3395
scan,Shared naive,10000,64,10,0.0194559991,0.3167
scan,Shared naive,10000,64,11,0.0194559991,0.312
scan,Shared naive,10000,64,12,0.0184320007,0.311
scan,Shared naive,10000,64,13,0.0194559991,0.312
scan,Shared naive,10000,64,14,0.0184320007,0.3107
scan,Shared naive,10000,32,0,0.0204799995,0.3151
scan,Shared naive,10000,32,1,0.0204799995,0.3107
scan,Shared naive,10000,32,2,0.0194559991,0.3106
scan,Shared naive,10000,32,3,0.0194559991,0.338
scan,Shared naive,10000,32,4,0.0204799995,0.3264
scan,Shared naive,10000,32,5,0.0204799995,0.3205
scan,Shared naive,10000,32,6,0.0204799995,0.3199
scan,Shared naive,10000,32,7,0.0194559991,0.3125
scan,Shared naive,10000,32,8,0.0204799995,0.3598
scan,Shared naive,10000,32,9,0.0204799995,0.3125
scan,Shared naive,10000,32,10,0.0194559991,0.3089
scan,Shared naive,10000,32,11,0.0204799995,0.3382
scan,Shared naive,10000,32,12,0.0204799995,0.3119
scan,Shared naive,10000,32,13,0.0204799995,0.3385
scan,Shared naive,10000,32,14,0.0204799995,0.3094
scan,Naive,10000,1024,0,0.124927998,0.4342
scan,Naive,10000,1024,1,0.102399997,0.4109
scan,Naive,10000,1024,2,0.111616001,0.4372
scan,Naive,10000,1024,3,0.123999998,0.4561
scan,Naive,10000,1024,4,0.0942080021,0.4156
scan,Naive,10000,1024,5,0.115712002,0.4329
scan,Naive,10000,1024,6,0.101375997,0.4307
scan,Naive,10000,1024,7,0.101375997,0.4088
scan,Naive,10000,1024,8,0.101375997,0.4014
scan,Naive,10000,1024,9,0.100351997,0.4506
scan,Naive,10000,1024,10,0.101375997,0.4847
scan,Naive,10000,1024,11,0.113664001,0.4928
scan,Naive,10000,1024,12,0.0931840017,0.4392
scan,Naive,10000,1024,13,0.116736002,0.537
scan,Naive,10000,1024,14,0.132095993,0.6902
scan,Naive,10000,32,0,0.0931840017,0.4367
scan,Naive,10000,32,1,0.116736002,0.4374
scan,Naive,10000,32,2,0.0931840017,0.443
scan,Naive,10000,32,3,0.0942080021,0.4138
scan,Naive,10000,32,4,0.0993279964,0.4357
scan,Naive,10000,32,5,0.0931840017,0.406
scan,Naive,10000,32,6,0.0993599966,0.4129
scan,Naive,10000,32,7,0.0942080021,0.4155
scan,Naive,10000,32,8,0.0931840017,0.4286
scan,Naive,10000,32,9,0.0993279964,0.4117
scan,Naive,10000,32,10,0.0931840017,0.4119
scan,Naive,10000,32,11,0.100351997,0.4283
scan,Naive,10000,32,12,0.113664001,0.4309
scan,Naive,10000,32,13,0.0921600014,0.4118
scan,Naive,10000,32,14,0.103423998,0.4372
scan,Naive,10000,512,0,0.0993279964,0.4075
scan,Naive,10000,512,1,0.0993279964,0.4048
scan,Naive,10000,512,2,0.105471998,0.4242
scan,Naive,10000,512,3,0.0993279964,0.4227
scan,Naive,10000,512,4,0.0921600014,0.3975
scan,Naive,10000,512,5,0.106495999,0.4102
scan,Naive,10000,512,6,0.0993279964,0.4384
scan,Naive,10000,512,7,0.100351997,0.4274
scan,Naive,10000,512,8,0.107519999,0.4404
scan,Naive,10000,512,9,0.121855997,0.4391
scan,Naive,10000,512,10,0.105471998,0.4612
scan,Naive,10000,512,11,0.100351997,0.514
scan,Naive,10000,512,12,0.0993279964,0.4315
scan,Naive,10000,512,13,0.104447998,0.4213
scan,Naive,10000,512,14,0.132095993,0.4954
scan,Naive,10000,64,0,0.100351997,0.4459
scan,Naive,10000,64,1,0.107519999,0.424
scan,Naive,10000,64,2,0.0993279964,0.4212
scan,Naive,10000,64,3,0.106495999,0.4208
scan,Naive,10000,64,4,0.100351997,0.4177
scan,Naive,10000,64,5,0.100351997,0.4089
scan,Naive,10000,64,6,0.109568,0.4261
scan,Naive,10000,64,7,0.100351997,0.4157
scan,Naive,10000,64,8,0.100351997,0.4185
scan,Naive,10000,64,9,0.118784003,0.4125
scan,Naive,10000,64,10,0.0983040035,0.4159
scan,Naive,10000,64,11,0.121855997,0.428
scan,Naive,10000,64,12,0.119808003,0.4319
scan,Naive,10000,64,13,0.0983040035,0.4049
scan,Naive,10000,64,14,0.107519999,0.413
scan,Naive,10000,256,0,0.120832004,0.433
scan,Naive,10000,256,1,0.0993279964,0.4033
scan,Naive,10000,256,2,0.106495999,0.4183
scan,Naive,10000,256,3,0.0993279964,0.4232
scan,Naive,10000,256,4,0.0901120007,0.4831
scan,Naive,10000,256,5,0.115712002,0.4232
scan,Naive,10000,256,6,0.0983040035,0.4473
scan,Naive,10000,256,7,0.106495999,0.4132
scan,Naive,10000,256,8,0.0983040035,0.4093
scan,Naive,10000,256,9,0.0983040035,0.4002
scan,Naive,10000,256,10,0.103423998,0.486
scan,Naive,10000,256,11,0.0972800031,0.4162
scan,Naive,10000,256,12,0.0901120007,0.4201
scan,Naive,10000,256,13,0.107712001,0.4409
scan,Naive,10000,256,14,0.0983040035,0.4127
scan,Naive,10000,128,0,0.124927998,0.4848
scan,Naive,10000,128,1,0.0942080021,0.4356
scan,Naive,10000,128,2,0.0942080021,0.4168
scan,Naive,10000,128,3,0.111616001,0.4374
scan,Naive,10000,128,4,0.103423998,0.4541
scan,Naive,10000,128,5,0.101375997,0.4584
scan,Naive,10000,128,6,0.112640001,0.4423
scan,Naive,10000,128,7,0.0901120007,0.4171
scan,Naive,10000,128,8,0.0921600014,0.4048
scan,Naive,10000,128,9,0.107519999,0.4169
scan,Naive,10000,128,10,0.0921600014,0.4017
scan,Naive,10000,128,11,0.113664001,0.43
scan,Naive,10000,128,12,0.100351997,0.4098
scan,Naive,10000,128,13,0.0901120007,0.3903
scan,Naive,10000,128,14,0.105471998,0.4062
scan,Shared unpadded,10000,512,0,0.0235520005,0.3726
scan,Shared unpadded,10000,512,1,0.0245760009,0.3486
scan,Shared unpadded,10000,512,2,0.0245760009,0.3362
scan,Shared unpadded,10000,512,3,0.0255999994,0.327
scan,Shared unpadded,10000,512,4,0.0235520005,0.3254
scan,Shared unpadded,10000,512,5,0.0235520005,0.3206
scan,Shared unpadded,10000,512,6,0.0245760009,0.3222
scan,Shared unpadded,10000,512,7,0.0245760009,0.3156
scan,Shared unpadded,10000,512,8,0.0235520005,0.3175
scan,Shared unpadded,10000,512,9,0.0235520005,0.3323
scan,Shared unpadded,10000,512,10,0.0235520005,0.3193
scan,Shared unpadded,10000,512,11,0.0245760009,0.3161
scan,Shared unpadded,10000,512,12,0.0245760009,0.3338
scan,Shared unpadded,10000,512,13,0.0245760009,0.3135
scan,Shared unpadded,10000,512,14,0.0245760009,0.3113
scan,Shared unpadded,10000,256,0,0.0204799995,0.3075
scan,Shared unpadded,10000,256,1,0.0204799995,0.318
scan,Shared unpadded,10000,256,2,0.0204799995,0.3318
scan,Shared unpadded,10000,256,3,0.0204799995,0.3442
scan,Shared unpadded,10000,256,4,0.0204799995,0.3104
scan,Shared unpadded,10000,256,5,0.0204799995,0.3397
scan,Shared unpadded,10000,256,6,0.0204799995,0.464
scan,Shared unpadded,10000,256,7,0.0194559991,0.5229
scan,Shared unpadded,10000,256,8,0.0204799995,0.3697
scan,Shared unpadded,10000,256,9,0.0215039998,0.3523
scan,Shared unpadded,10000,256,10,0.0204799995,0.3313
scan,Shared unpadded,10000,256,11,0.0204799995,0.3157
scan,Shared unpadded,10000,256,12,0.0204799995,0.3134
